formula,mz
C9H10O9N-,276.03610448144946
C10H14O8N-,276.0724899901694
C9C[13]H14O8N-,277.0758448279694
C8H8O10N-,278.01536903686946
C9H12O9N-,278.05175454558946
C10H16O8N-,278.0881400543094
C8H11O9N2-,279.04700351831946
C8C[13]H12O9N-,279.05510938338944
C9H11H[2]O9N-,279.0580312913195
C9C[13]H16O8N-,279.0914948921094
C8H10O10N-,280.03101910100946
C9H12O8O[18]N-,280.05600092602947
C9H14O9N-,280.0674046097294
C12H14O5N3-,280.09389414108944
C10H18O8N-,280.1037901184494
C7H9O10N2-,281.02626807373946
C7C[13]H10O10N-,281.03437393880944
C8C[13]H14O9N-,281.0707594475294
C8H12O10N-,282.04666916514947
C9H14O8O[18]N-,282.0716509901694
C9H16O9N-,282.0830546738694
C10H12O9N-,290.05175454558946
C6H2O11N3-,291.96948147360945
C9H10O10N-,292.03101910100946
C10H14O9N-,292.0674046097294
C8H9O10N2-,293.02626807373946
C9C[13]H14O9N-,293.0707594475294
C9H12O10N-,294.04666916514947
C10H16O9N-,294.0830546738694
C8H11O10N2-,295.04191813787946
C9C[13]H16O9N-,295.0864095116694
C10H15H[2]O9N-,295.08933141959943
C7C[13]H11O10N2-,296.04527297567944
C9H14O10N-,296.0623192292894
C10H16O8O[18]N-,296.0873010543094
C8C[13]2H16O9N-,296.0897643494694
C10H18O9N-,296.0987047380094
C8C[13]H14O10N-,297.0656740670894
C14H16O5NF-,297.10179941562944
C13C[13]H16O5NF-,298.1051542534294
C11H14O9N-,304.0674046097294
C10H12O10N-,306.04666916514947
C11H16O9N-,306.0830546738694
C10H15O9N2-,307.0783036465994
C10C[13]H16O9N-,307.0864095116694
C10H14O10N-,308.0623192292894
C11H18O9N-,308.0987047380094
C9H13O10N2-,309.0575682020194
C9C[13]H14O10N-,309.0656740670894
C9H12O11N-,310.0415837847094
C10H16O10N-,310.0779692934294
C12H16O9N-,318.0830546738694
C11H14O10N-,320.0623192292894
C12H18O9N-,320.0987047380094
C10H12O11N-,322.0415837847094
C11H16O10N-,322.0779692934294
C10H15O10N2-,323.0732182661594
C10C[13]H16O10N-,323.0813241312294
C10H14O11N-,324.05723384884936
C11H18O10N-,324.0936193575694
C9H13O11N2-,325.05248282157936
C9C[13]H14O11N-,325.06058868664934
C10H17O10N2-,325.0888683302994
C10H16O11N-,326.07288391298937
C11H26O7N4-,326.1806977698494
C12H18O10N-,336.0936193575694
C11H16O11N-,338.07288391298937
C10H15O11N2-,339.06813288571936
